,rating,title,review
0,1,"Don't fall for ""Discount Airline""",Worst experience I have ever had with an airline.  Flight delayed numerous times then canceled on 1-15-24.  Was told I could fly out 1-19-24.  No other alternatives. Was stuck purchasing a one-way ticket on United. Due to that cost had to stay an extra 2 nights costing an extra…
1,1,Horrible,I will never fly with this company again. They left us stranded with no way home . They didn’t help us find a flight home. They did not reimburse our flight home and they did not with any hotel cost either stay away do not use this company
2,1,"Awful, Awful experience. Non existent customer service","I was in Texas to attend a funeral, weather caused our return flight to Omaha to be cancelled on Sunday 1/14/24. I got on the phone with customer service and was told they would rebook us on the next available flight Thursday 1/18/24 at no charge, they told me they would not…"
3,1,Horrible experience,"Our flight was to take off Mon 1/15 at 12:20, after 3 delays an at 3:30 pm they canceled the flight.  They refused to rebook us until Fri 1/19 or take a refund.  Allegiant refused to help us find another airline and ultimately we we're forced to rent a car and drive 15 hours to…"
4,1,Terrible airline hires terrible people.,"terrible customer service. After buying a whole ticket for my dog and going through all the necessary steps given to me BY THE AIRLINE to ensure he gets on the plane, he is denied at the gate. I began to tell the women working for me that I had everything he needed to fly when I…"
5,1,Terrible costumer service.,They cancled our flight and wouldn’t fly us out till Thursday. We asked to be moved to another airline flight and they refused. They told us “too bad you can take a refund or fly out on Thursday” when my dad asked why they couldn’t fly on another flight the woman hung up on him.…
6,1,Poor Communication and a pattern of delays,"Unbelievably terrible service with Allegiant. They lie when they tell you anything on the plane! We had no weather for 3-4 hours but they blame weather for the delay. Since Covid, their service gets worse and worse."
7,1,the worst,The absolute worst management and communication. They have not communicated anything to us about our flight for the last 24 hours after delaying our initial flight.
8,3,Poor,"I have flown with Allegiant Air the last three weekends. All three times late boarding, late leaving the gat, and arrival at gate waited on runway one hour for the planes to be removed from the gate. Poor customer service."
9,1,Don’t fly Allegiant,Terrible! Not worth the little money you save once adding ridiculous cost of bags ($75 if you don’t add when checking in) and cost of seat. Soooo not worth it. Never again will I fly Allegiant
10,3,"Old, rude flight attendants.","Upgraded to leg room, did not get row with legroom. Airplane graph online does match the actual airplane layout. Row 2 but had to put our suitcase above row 7, flight attendant did not care and was not very nice or helpful to us but we then watched her help a male passenger find…"
11,1,Veterans treated like Dirt,Veterans: I did not know how to navigate the “free bags for veterans” offer. I followed instructions and was treated like S*** by Allegiant. Wrote a complaint and was promptly promised bag fee reimbursement but it never was seen.  Do they hate Veterans? I really felt Deja vous…
12,1,Absolute nightmare,When I got to the airport there was no one at the luggage counter to grab my checked bags that I paid for. So I had to bring them all through security. By the time I got to the terminal two teenage girls wouldn’t let me on the flight claiming I was late when it was still…
13,5,Great Experience,"I had a great experience with Allegiant Airlines. All employees were very friendly and helpful. My nonstop flights did not experience any delays. Also, I didn't have to leave at the crack of dawn to get a great price. I will fly Allegiant Airlines from now on."
14,1,Wing is falling apart,"I wish I could attach a picture. Why would they ever put these piece of crap used planes from other countries in service. Got parts falling off of the wings never fly the airline, but had to go to a small town and should’ve built a paper airplane would’ve been more reliable than…"
